City,Town,7-11,hilife,okmart,familymart,dominance
宜蘭縣,三星鄉,7,0,2,2,7-11
宜蘭縣,大同鄉,2,0,0,1,7-11
宜蘭縣,五結鄉,11,0,2,7,7-11
宜蘭縣,冬山鄉,10,0,2,8,7-11
宜蘭縣,壯圍鄉,7,0,1,3,7-11
宜蘭縣,宜蘭市,24,0,8,21,7-11
宜蘭縣,南澳鄉,2,0,0,2,7-11
宜蘭縣,員山鄉,7,0,0,4,7-11
宜蘭縣,頭城鎮,8,0,1,5,7-11
宜蘭縣,礁溪鄉,13,0,2,6,7-11
宜蘭縣,羅東鎮,17,0,2,13,7-11
宜蘭縣,蘇澳鎮,11,0,3,4,7-11
花蓮縣,玉里鎮,6,0,0,2,7-11
花蓮縣,光復鄉,3,0,0,1,7-11
花蓮縣,吉安鄉,22,0,1,10,7-11
花蓮縣,秀林鄉,7,0,0,2,7-11
花蓮縣,卓溪鄉,1,0,0,0,7-11
花蓮縣,花蓮市,45,0,3,19,7-11
花蓮縣,富里鄉,2,0,0,1,7-11
花蓮縣,新城鄉,9,0,2,9,7-11
花蓮縣,瑞穗鄉,3,0,0,2,7-11
花蓮縣,萬榮鄉,1,0,0,0,7-11
花蓮縣,壽豐鄉,7,0,0,6,7-11
花蓮縣,鳳林鎮,4,0,0,0,7-11
花蓮縣,豐濱鄉,1,0,0,0,7-11
金門縣,金沙鎮,3,0,0,1,7-11
金門縣,金城鎮,9,0,0,4,7-11
金門縣,金湖鎮,7,0,0,6,7-11
金門縣,金寧鄉,5,0,0,2,7-11
金門縣,烈嶼鄉,1,0,0,1,7-11
南投縣,中寮鄉,1,0,0,1,7-11
南投縣,仁愛鄉,6,0,0,3,7-11
南投縣,水里鄉,6,0,0,1,7-11
南投縣,名間鄉,6,0,2,3,7-11
南投縣,竹山鎮,10,0,1,7,7-11
南投縣,信義鄉,2,0,0,0,7-11
南投縣,南投市,20,0,6,13,7-11
南投縣,埔里鎮,21,0,3,18,7-11
南投縣,草屯鎮,19,0,6,16,7-11
南投縣,國姓鄉,1,0,1,1,7-11
南投縣,魚池鄉,7,0,0,3,7-11
南投縣,鹿谷鄉,3,0,0,2,7-11
南投縣,集集鎮,2,0,0,1,7-11
屏東縣,九如鄉,5,0,0,2,7-11
屏東縣,三地門鄉,1,0,0,1,7-11
屏東縣,內埔鄉,16,0,0,9,7-11
屏東縣,竹田鄉,2,0,0,1,7-11
屏東縣,車城鄉,4,0,0,1,7-11
屏東縣,里港鄉,5,0,0,2,7-11
屏東縣,佳冬鄉,3,0,0,2,7-11
屏東縣,來義鄉,1,0,0,0,7-11
屏東縣,東港鎮,10,0,1,10,7-11
屏東縣,枋山鄉,5,0,0,1,7-11
屏東縣,枋寮鄉,6,0,0,6,7-11
屏東縣,林邊鄉,3,0,0,1,7-11
屏東縣,長治鄉,6,0,0,5,7-11
屏東縣,南州鄉,3,0,0,2,7-11
屏東縣,屏東市,46,0,4,27,7-11
屏東縣,恆春鎮,16,0,0,5,7-11
屏東縣,春日鄉,1,0,0,1,7-11
屏東縣,崁頂鄉,1,0,0,1,7-11
屏東縣,泰武鄉,1,0,0,0,7-11
屏東縣,琉球鄉,3,0,0,1,7-11
屏東縣,高樹鄉,3,0,0,1,7-11
屏東縣,新埤鄉,2,0,0,1,7-11
屏東縣,新園鄉,5,0,0,2,7-11
屏東縣,獅子鄉,1,0,0,1,7-11
屏東縣,萬丹鄉,10,0,1,1,7-11
屏東縣,萬巒鄉,4,0,0,1,7-11
屏東縣,滿州鄉,1,0,0,1,7-11
屏東縣,瑪家鄉,1,0,0,0,7-11
屏東縣,潮州鎮,11,0,2,7,7-11
屏東縣,霧臺鄉,1,0,0,0,7-11
屏東縣,麟洛鄉,2,0,1,1,7-11
屏東縣,鹽埔鄉,3,0,0,4,FamilyMart
苗栗縣,三義鄉,3,0,1,3,7-11
苗栗縣,三灣鄉,1,0,0,0,7-11
苗栗縣,大湖鄉,3,0,0,3,7-11
苗栗縣,公館鄉,7,0,0,4,7-11
苗栗縣,竹南鎮,31,0,5,26,7-11
苗栗縣,西湖鄉,1,0,0,0,7-11
苗栗縣,卓蘭鎮,2,0,0,3,FamilyMart
苗栗縣,南庄鄉,3,0,0,1,7-11
苗栗縣,後龍鎮,10,0,0,4,7-11
苗栗縣,苑裡鎮,13,0,2,7,7-11
苗栗縣,苗栗市,22,0,7,16,7-11
苗栗縣,泰安鄉,1,0,0,0,7-11
苗栗縣,通霄鎮,8,0,0,2,7-11
苗栗縣,造橋鄉,3,0,2,1,7-11
苗栗縣,獅潭鄉,1,0,0,1,7-11
苗栗縣,銅鑼鄉,4,0,3,5,FamilyMart
苗栗縣,頭份市,34,0,5,18,7-11
苗栗縣,頭屋鄉,5,0,0,1,7-11
桃園市,八德區,52,0,10,34,7-11
桃園市,大園區,45,0,8,14,7-11
桃園市,大溪區,26,0,9,13,7-11
桃園市,中壢區,148,0,34,89,7-11
桃園市,平鎮區,63,0,18,26,7-11
桃園市,桃園區,157,0,16,78,7-11
桃園市,復興區,1,0,1,0,7-11
桃園市,新屋區,13,0,1,5,7-11
桃園市,楊梅區,41,0,11,21,7-11
桃園市,龍潭區,37,0,8,14,7-11
桃園市,龜山區,87,0,15,45,7-11
桃園市,蘆竹區,70,0,6,34,7-11
桃園市,觀音區,23,0,5,7,7-11
高雄市,三民區,81,0,10,43,7-11
高雄市,大社區,9,0,0,4,7-11
高雄市,大寮區,21,0,5,14,7-11
高雄市,大樹區,5,0,0,7,FamilyMart
高雄市,小港區,37,0,4,19,7-11
高雄市,仁武區,25,0,1,9,7-11
高雄市,內門區,3,0,0,1,7-11
高雄市,六龜區,3,0,0,1,7-11
高雄市,左營區,58,0,4,32,7-11
高雄市,永安區,2,0,0,1,7-11
高雄市,田寮區,1,0,0,0,7-11
高雄市,甲仙區,2,0,0,1,7-11
高雄市,杉林區,1,0,0,1,7-11
高雄市,那瑪夏區,1,0,0,0,7-11
高雄市,岡山區,28,0,1,11,7-11
高雄市,林園區,14,0,1,4,7-11
高雄市,阿蓮區,6,0,0,1,7-11
高雄市,前金區,14,0,3,7,7-11
高雄市,前鎮區,49,0,3,25,7-11
